Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199079: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199086: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199094: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199103: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199110: x:253, y:261
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199117: x:253, y:260
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199127: x:253, y:260
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199133: x:254, y:260
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199143: x:254, y:259
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199147: x:255, y:259
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199154: x:255, y:259
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199162: x:256, y:258
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199169: x:257, y:258
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323199183: x:258, y:257
