Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
task2a.js:181 Timestamp: 1427323799248: x:206, y:197
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799260: x:209, y:200
task2a.js:181 Timestamp: 1427323799263: x:212, y:203
task2a.js:181 Timestamp: 1427323799270: x:215, y:205
task2a.js:181 Timestamp: 1427323799279: x:218, y:208
task2a.js:181 Timestamp: 1427323799287: x:221, y:210
task2a.js:181 Timestamp: 1427323799296: x:223, y:212
task2a.js:181 Timestamp: 1427323799302: x:226, y:214
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799312: x:229, y:216
task2a.js:181 Timestamp: 1427323799317: x:232, y:218
task2a.js:181 Timestamp: 1427323799327: x:234, y:220
task2a.js:181 Timestamp: 1427323799333: x:237, y:221
task2a.js:181 Timestamp: 1427323799340: x:239, y:223
task2a.js:181 Timestamp: 1427323799348: x:242, y:225
task2a.js:181 Timestamp: 1427323799357: x:244, y:226
task2a.js:181 Timestamp: 1427323799364: x:247, y:228
task2a.js:181 Timestamp: 1427323799370: x:249, y:230
task2a.js:181 Timestamp: 1427323799380: x:252, y:231
task2a.js:181 Timestamp: 1427323799386: x:254, y:233
task2a.js:181 Timestamp: 1427323799394: x:257, y:234
task2a.js:181 Timestamp: 1427323799402: x:259, y:236
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799411: x:261, y:237
task2a.js:181 Timestamp: 1427323799416: x:264, y:238
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799428: x:266, y:239
task2a.js:181 Timestamp: 1427323799432: x:268, y:240
task2a.js:181 Timestamp: 1427323799442: x:270, y:241
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799448: x:272, y:242
task2a.js:181 Timestamp: 1427323799454: x:273, y:243
task2a.js:181 Timestamp: 1427323799464: x:274, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799479: x:275, y:244
task2a.js:181 Timestamp: 1427323799480: x:276, y:245
task2a.js:181 Timestamp: 1427323799484: x:276, y:245
task2a.js:181 Timestamp: 1427323799494: x:277, y:245
task2a.js:181 Timestamp: 1427323799501: x:277, y:245
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799512: x:278, y:246
task2a.js:181 Timestamp: 1427323799518: x:280, y:246
task2a.js:181 Timestamp: 1427323799527: x:281, y:247
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799532: x:283, y:248
task2a.js:181 Timestamp: 1427323799540: x:284, y:249
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799548: x:286, y:249
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799554: x:288, y:250
task2a.js:181 Timestamp: 1427323799563: x:289, y:251
task2a.js:181 Timestamp: 1427323799570: x:290, y:251
