Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1427322638621: x:295, y:248
js/task2a.js:181 Timestamp: 1427322638628: x:296, y:248
js/task2a.js:181 Timestamp: 1427322638643: x:296, y:249
js/task2a.js:181 Timestamp: 1427322638645: x:297, y:249
js/task2a.js:181 Timestamp: 1427322638651: x:297, y:249
js/task2a.js:181 Timestamp: 1427322638662: x:298, y:250
js/task2a.js:181 Timestamp: 1427322638667: x:298, y:250
js/task2a.js:181 Timestamp: 1427322638675: x:299, y:251
js/task2a.js:181 Timestamp: 1427322638685: x:299, y:251
js/task2a.js:181 Timestamp: 1427322638692: x:299, y:251
js/task2a.js:181 Timestamp: 1427322638697: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638705: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638711: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638724: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638729: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638735: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638744: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638751: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638758: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638767: x:300, y:252
js/task2a.js:181 Timestamp: 1427322638774: x:299, y:252
js/task2a.js:181 Timestamp: 1427322638781: x:297, y:251
js/task2a.js:165 Stop tracking information: Task 2, Part 3 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 435…}
js/task2a.js:155 Start tracking information: Task 2, Part 4, Attempt 1
js/task2a.js:181 Timestamp: 1427322640476: x:397, y:433
js/task2a.js:181 Timestamp: 1427322640483: x:397, y:432
js/task2a.js:181 Timestamp: 1427322640493: x:398, y:431
js/task2a.js:181 Timestamp: 1427322640500: x:399, y:429
js/task2a.js:181 Timestamp: 1427322640510: x:399, y:427
js/task2a.js:181 Timestamp: 1427322640516: x:400, y:424
js/task2a.js:181 Timestamp: 1427322640532: x:401, y:422
js/task2a.js:181 Timestamp: 1427322640533: x:402, y:419
js/task2a.js:181 Timestamp: 1427322640542: x:403, y:417
