Navigated to file:///Users/madelaine/Desktop/csc428-master/views/start.html
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/device1.html
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533058: x:787, y:441
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533074: x:786, y:441
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533092: x:785, y:443
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533110: x:784, y:444
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533126: x:783, y:445
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533144: x:782, y:447
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533160: x:782, y:449
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533179: x:781, y:451
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533195: x:781, y:452
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533217: x:780, y:453
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533236: x:776, y:453
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533251: x:767, y:452
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533268: x:747, y:447
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533281: x:718, y:440
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533302: x:691, y:436
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533316: x:670, y:434
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533334: x:655, y:434
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533350: x:646, y:434
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533368: x:641, y:434
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533384: x:637, y:435
/Users/madelaine/Desktop/csc428-master/js/task3a.js:268 Timestamp: 1426721533401: x:633, y:436
